id,data_entrada,origem,segmento,etapa_atual,data_ultima_movimentacao,valor_potencial,status_final
L0001,2025-05-13,Site,Varejo,Proposta,2025-05-31,15500,Em Andamento
L0002,2024-12-09,Site,Indústria,MQL,2025-01-02,13500,Perdido
L0003,2025-01-26,LinkedIn,Varejo,Proposta,2025-02-25,17000,Perdido
L0004,2025-02-25,Site,Serviços,MQL,2025-03-16,36000,Perdido
L0005,2025-03-28,LinkedIn,Serviços,Proposta,2025-04-28,11500,Perdido
L0006,2024-12-12,Indicação,Varejo,Lead,2024-12-13,9500,Perdido
L0007,2025-03-08,Site,Varejo,SQL,2025-04-12,31000,Perdido
L0008,2025-05-05,LinkedIn,Financeiro,Proposta,2025-05-31,39000,Em Andamento
L0009,2025-05-25,Site,Tech,Fechado,2025-05-31,15000,Perdido
L0010,2025-01-24,Indicação,Serviços,Lead,2025-01-28,19000,Perdido
L0011,2025-01-05,Site,Financeiro,MQL,2025-01-27,17500,Em Andamento
L0012,2025-03-03,Site,Indústria,Negociação,2025-04-25,11000,Em Andamento
L0013,2025-03-09,Site,Serviços,MQL,2025-03-17,15500,Perdido
L0014,2025-05-24,Outbound,Varejo,Lead,2025-05-30,3000,Em Andamento
L0015,2025-01-10,LinkedIn,Varejo,Lead,2025-01-11,3500,Perdido
L0016,2025-05-10,Site,Financeiro,Lead,2025-05-12,16500,Em Andamento
L0017,2025-04-18,Outbound,Financeiro,Lead,2025-04-18,12000,Perdido
L0018,2024-12-29,Outbound,Varejo,SQL,2025-02-10,13500,Em Andamento
L0019,2024-12-18,Outbound,Financeiro,Lead,2024-12-20,13000,Em Andamento
L0020,2025-02-06,LinkedIn,Financeiro,Proposta,2025-03-17,9500,Perdido
L0021,2025-05-21,LinkedIn,Serviços,Fechado,2025-05-31,34500,Ganho
L0022,2024-12-02,Site,Tech,MQL,2024-12-13,18000,Perdido
L0023,2025-02-10,Indicação,Indústria,SQL,2025-03-09,15500,Perdido
L0024,2025-03-15,Site,Tech,Lead,2025-03-22,8000,Em Andamento
L0025,2024-12-14,Indicação,Tech,Fechado,2025-02-03,14500,Ganho
L0026,2025-01-16,Site,Indústria,Lead,2025-01-17,16000,Em Andamento
L0027,2024-12-13,Indicação,Financeiro,MQL,2025-01-05,11000,Perdido
L0028,2025-01-12,LinkedIn,Serviços,Negociação,2025-04-05,17000,Perdido
