id,data_entrada,origem,segmento,etapa_atual,data_ultima_movimentacao,valor_potencial,status_final,etapa_num,dias_no_funil,dias_sem_movimentacao,mes_entrada,tempo_ciclo
L0001,2025-05-13,Site,Varejo,Proposta,2025-05-31,15500,Em Andamento,3,18,0,2025-05,18
L0002,2024-12-09,Site,Indústria,MQL,2025-01-02,13500,Perdido,1,173,149,2024-12,24
L0003,2025-01-26,LinkedIn,Varejo,Proposta,2025-02-25,17000,Perdido,3,125,95,2025-01,30
L0004,2025-02-25,Site,Serviços,MQL,2025-03-16,36000,Perdido,1,95,76,2025-02,19
L0005,2025-03-28,LinkedIn,Serviços,Proposta,2025-04-28,11500,Perdido,3,64,33,2025-03,31
L0006,2024-12-12,Indicação,Varejo,Lead,2024-12-13,9500,Perdido,0,170,169,2024-12,1
L0007,2025-03-08,Site,Varejo,SQL,2025-04-12,31000,Perdido,2,84,49,2025-03,35
L0008,2025-05-05,LinkedIn,Financeiro,Proposta,2025-05-31,39000,Em Andamento,3,26,0,2025-05,26
L0009,2025-05-25,Site,Tech,Fechado,2025-05-31,15000,Perdido,5,6,0,2025-05,6
L0010,2025-01-24,Indicação,Serviços,Lead,2025-01-28,19000,Perdido,0,127,123,2025-01,4
L0011,2025-01-05,Site,Financeiro,MQL,2025-01-27,17500,Em Andamento,1,146,124,2025-01,22
L0012,2025-03-03,Site,Indústria,Negociação,2025-04-25,11000,Em Andamento,4,89,36,2025-03,53
L0013,2025-03-09,Site,Serviços,MQL,2025-03-17,15500,Perdido,1,83,75,2025-03,8
L0014,2025-05-24,Outbound,Varejo,Lead,2025-05-30,3000,Em Andamento,0,7,1,2025-05,6
L0015,2025-01-10,LinkedIn,Varejo,Lead,2025-01-11,3500,Perdido,0,141,140,2025-01,1
L0016,2025-05-10,Site,Financeiro,Lead,2025-05-12,16500,Em Andamento,0,21,19,2025-05,2
L0017,2025-04-18,Outbound,Financeiro,Lead,2025-04-18,12000,Perdido,0,43,43,2025-04,0
L0018,2024-12-29,Outbound,Varejo,SQL,2025-02-10,13500,Em Andamento,2,153,110,2024-12,43
L0019,2024-12-18,Outbound,Financeiro,Lead,2024-12-20,13000,Em Andamento,0,164,162,2024-12,2
L0020,2025-02-06,LinkedIn,Financeiro,Proposta,2025-03-17,9500,Perdido,3,114,75,2025-02,39
L0021,2025-05-21,LinkedIn,Serviços,Fechado,2025-05-31,34500,Ganho,5,10,0,2025-05,10
L0022,2024-12-02,Site,Tech,MQL,2024-12-13,18000,Perdido,1,180,169,2024-12,11
L0023,2025-02-10,Indicação,Indústria,SQL,2025-03-09,15500,Perdido,2,110,83,2025-02,27
L0024,2025-03-15,Site,Tech,Lead,2025-03-22,8000,Em Andamento,0,77,70,2025-03,7
L0025,2024-12-14,Indicação,Tech,Fechado,2025-02-03,14500,Ganho,5,168,117,2024-12,51
L0026,2025-01-16,Site,Indústria,Lead,2025-01-17,16000,Em Andamento,0,135,134,2025-01,1
L0027,2024-12-13,Indicação,Financeiro,MQL,2025-01-05,11000,Perdido,1,169,146,2024-12,23
L0028,2025-01-12,LinkedIn,Serviços,Negociação,2025-04-05,17000,Perdido,4,139,56,2025-01,83
L0029,2025-02-12,LinkedIn,Financeiro,Fechado,2025-03-24,16000,Perdido,5,108,68,2025-02,40
L0030,2024-12-15,Site,Serviços,MQL,2024-12-31,11000,Em Andamento,1,167,151,2024-12,16
L0031,2025-01-17,Site,Tech,Lead,2025-01-20,14000,Em Andamento,0,134,131,2025-01,3
L0032,2025-04-28,LinkedIn,Financeiro,Fechado,2025-05-31,78500,Ganho,5,33,0,2025-04,33
L0033,2025-02-06,Site,Varejo,MQL,2025-02-20,11000,Perdido,1,114,100,2025-02,14
L0034,2025-05-09,Outbound,Tech,Proposta,2025-05-31,10500,Em Andamento,3,22,0,2025-05,22
L0035,2025-02-11,Site,Financeiro,Lead,2025-02-11,40500,Perdido,0,109,109,2025-02,0
L0036,2025-05-20,Indicação,Varejo,Lead,2025-05-24,5000,Em Andamento,0,11,7,2025-05,4
L0037,2024-12-30,Outbound,Financeiro,Proposta,2025-03-04,27000,Em Andamento,3,152,88,2024-12,64
L0038,2025-04-09,LinkedIn,Tech,Fechado,2025-05-31,6000,Ganho,5,52,0,2025-04,52
L0039,2025-03-24,LinkedIn,Serviços,SQL,2025-04-11,5500,Perdido,2,68,50,2025-03,18
L0040,2025-03-05,LinkedIn,Indústria,Proposta,2025-03-31,17000,Em Andamento,3,87,61,2025-03,26
